[PRINT_WORDLEVEL_TIME]<00:00.1> Ah</00:00.1>
<01:01.0> bien</01:01.1>
<01:01.1> voulu</01:01.3>
<01:01.4> se</01:01.5>
<01:01.7> marier</01:02.1>
<01:02.2> avec</01:02.4>
<01:02.4> quelqu'un</01:02.6>
<01:02.7> qui</01:02.8>
<01:02.8> ne</01:02.9>
<01:02.9> voyait</01:03.2>
<01:03.3> pas?</01:03.4>
<01:04.3> C'est-à-dire</01:04.7>
<01:04.9> que</01:05.1>
<01:05.3> ma</01:05.5>
<01:05.5> grand-mère,</01:05.9>
<01:05.9> moi</01:06.0>
<01:06.0> j'avais</01:06.2>
<01:06.2> entendu</01:06.4>
<01:06.5> dire,</01:06.7>
<01:06.7> ma</01:06.8>
<01:06.8> grand-mère</01:07.1>
<01:07.1> ne</01:07.2>
<01:07.2> voulait</01:07.4>
<01:07.4> pas</01:07.6>
<01:07.6> que</01:07.8>
<01:07.8> ma</01:07.9>
<01:07.9> mère</01:08.1>
<01:08.3> se</01:08.3>
<01:08.4> marie</01:08.5>
<01:08.6> avec</01:08.7>
<01:08.8> mon</01:08.9>
<01:08.9> père.</01:09.2>
<01:09.6> Ouais.</01:09.9>
<01:11.2> Elle</01:11.3>
<01:11.3> a</01:11.4>
<01:11.4> dit</01:11.5>
<01:11.6> non,</01:11.8>
<01:11.8> elle</01:11.9>
<01:11.9> a</01:11.9>
<01:12.0> dit,</01:12.2>
<01:12.7> ça</01:12.8>
<01:12.8> n'a</01:12.9>
<01:12.9> rien</01:13.0>
<01:13.0> à</01:13.0>
<01:13.1> voir.</01:13.6>
<01:15.8> Ah</01:15.8>
<01:15.9> ouais,</01:16.0>
<01:16.0> mais</01:16.1>
<01:16.1> c'était</01:16.3>
<01:16.3> l'amour,</01:16.6>
<01:16.8> non?</01:17.0>
<01:17.0> Bah</01:17.1>
<01:17.1> oui,</01:17.3>
<01:17.9> elle</01:18.0>
<01:18.0> s'est</01:18.2>
<01:18.2> mariée</01:18.4>
<01:18.5> quand</01:18.6>
<01:18.6> même</01:18.7>
<01:18.8> avec.</01:19.0>
<01:19.1> Elle</01:19.2>
<01:19.2> a</01:19.2>
<01:19.3> quand</01:19.4>
<01:19.4> même</01:19.5>
<01:19.6> eu</01:19.6>
<01:19.7> 12</01:19.8>
<01:19.9> enfants.</01:20.4>
<01:20.7> Ah</01:20.8>
<01:20.8> oui,</01:20.9>
<01:21.0> oui,</01:21.1>
<01:21.3> 12</01:21.3>
<01:21.4> enfants.</01:21.8>
<01:22.6> Et</01:22.7>
<01:22.7> tous</01:22.8>
<01:22.8> les</01:23.0>
<01:23.0> enfants</01:23.4>
<01:25.0> sont</01:25.1>
<01:25.1> restés</01:25.4>
<01:25.6> dans</01:25.8>
<01:25.8> les</01:25.9>
<01:25.9> baraques</01:26.2>
<01:26.3> à</01:26.3>
<01:26.3> côté?</01:26.7>
<01:28.4> Les</01:28.6>
<01:28.6> enfants,</01:29.0>
<01:29.1> un</01:29.2>
<01:29.2> coup</01:29.3>
<01:29.4> qu'ils</01:29.6>
<01:29.6> étaient</01:29.8>
<01:29.8> mariés,</01:30.0>Bon, ils ont vécu un petit peu dans les groupes, mais pas longtemps. Mais après, j'ai un frère qui s'est fait construire à Saran. J'en ai un autre qui a habité dans les groupes, après il s'est fait construire à Saint-Jean-de-Bray. Un petit peu éparpillé et tout. Et il n'y en a pas qui ont voyagé? Non. Non, c'était un... Il ne faut pas leur dire que c'est des manouches parce que leur père était... Non, non, non, mais il n'y en a aucun qui a eu envie. Non, non. Moi, ça me gêne pas. Ouais, ouais. Ça, c'est un peu... On y est, ça. Comme on dit.
