[PRINT_WORDLEVEL_TIME]<00:01.0> Ils</00:01.1>
<00:28.4> elle</00:28.5>
<00:28.5> est</00:28.6>
<00:28.6> très</00:28.7>
<00:28.8> attachée</00:29.1>
<00:29.1> à</00:29.2>
<00:29.2> Toulouse,</00:29.5>
<00:29.6> comme</00:29.7>
<00:29.7> sa</00:29.8>
<00:29.9> ville.</00:30.1>
<00:30.2> Ah</00:30.2>
<00:30.2> oui,</00:30.4>
<00:30.5> oui,</00:30.6>
<00:30.6> oui,</00:30.8>
<00:30.8> tout</00:30.9>
<00:30.9> à</00:31.0>
<00:31.0> fait.</00:31.2>
<00:31.6> Sa</00:31.7>
<00:31.8> ville,</00:32.0>
<00:32.0> c'est</00:32.1>
<00:32.1> Toulouse.</00:32.5>
<00:33.5> D'accord.</00:33.8>
<00:33.8> Tout</00:33.9>
<00:33.9> à</00:33.9>
<00:34.0> fait.</00:34.2>
<00:34.7> Et</00:34.8>
<00:34.8> elle</00:34.9>
<00:35.0> a</00:35.0>
<00:35.0> fait</00:35.1>
<00:35.2> des</00:35.3>
<00:35.4> études</00:35.7>
<00:35.8> pour</00:36.0>
<00:36.0> être</00:36.1>
<00:36.1> secrétaire,</00:36.6>
<00:36.6> vous</00:36.7>
<00:36.7> ne</00:36.8>
<00:36.8> savez</00:37.0>
<00:37.0> pas?</00:37.2>
<00:38.0> Très</00:38.1>
<00:38.2> très</00:38.3>
<00:38.4> peu</00:38.5>
<00:38.5> d'études.</00:38.9>
<00:39.4> C'est</00:39.5>
<00:39.5> très</00:39.6>
<00:39.7> peu</00:39.8>
<00:39.8> d'études.</00:40.2>
<00:40.8> D'accord.</00:41.3>
<00:41.4> Et</00:41.5>
<00:41.8> vous</00:42.0>
<00:42.0> avez</00:42.2>
<00:42.2> des</00:42.3>
<00:42.3> frères</00:42.5>
<00:42.5> et</00:42.6>
<00:42.6> sœurs?</00:42.9>
<00:43.2> Oui,</00:43.3>
<00:43.4> j'ai</00:43.5>
<00:43.6> un</00:43.7>
<00:43.7> grand</00:43.9>
<00:44.0> frère</00:44.3>
<00:45.1> qui</00:45.2>
<00:45.3> a</00:45.3>
<00:45.3> un</00:45.4>
<00:45.5> an</00:45.5>
<00:45.5> et</00:45.6>
<00:45.6> demi</00:45.7>
<00:45.8> de</00:45.8>
<00:45.9> plus</00:46.0>
<00:46.1> que</00:46.2>
<00:46.2> moi</00:46.4>
<00:46.6> et</00:46.7>
<00:47.4> qui</00:47.6>
<00:47.6> ne</00:47.6>
<00:47.6> vit</00:47.7>
<00:47.8> pas</00:47.9>
<00:47.9> sur</00:48.0>
<00:48.1> la</00:48.2>
<00:48.2> région.</00:48.7>
<00:49.0> J'en</00:49.1>
<00:49.2> dissipe</00:49.5>
<00:49.6> un</00:49.7>
<00:49.7> peu.</00:50.0>
<00:50.3> Qui</00:50.4>
<00:50.4> vit</00:50.5>
<00:50.6> en</00:50.6>
<00:50.7> Agou.</00:51.1>
<00:52.6> Et</00:52.7>
<00:52.7> qui</00:52.8>
<00:52.8> est</00:52.9>
<00:52.9> professeur.</00:53.5>
<00:54.2> Professeur</00:54.8>
<00:55.2> d'une</00:55.5>
<00:55.6> nouvelle</00:55.8>
<00:56.1> discipline</00:56.7>
<00:56.7> qui</00:56.8>
<00:56.8> s'appelle</00:57.2>
<00:57.7> SMS,</00:58.3>
<00:58.4> c'est</00:58.6>
<00:58.9> sciences</00:59.2>
<00:59.3> médico-sociales</01:00.2>
<01:00.2> ou</01:00.3>
<01:00.3> un</01:00.4>
<01:00.4> truc</01:00.5>
<01:00.5> comme</01:00.7>
<01:00.7> ça.</01:00.9>
<01:01.8> Je</01:01.9>
<01:01.9> ne</01:01.9>
<01:02.0> sais</01:02.0>
<01:02.1> pas</01:02.2>
<01:02.2> trop.</01:02.4>
<01:02.8> Il</01:02.9>
<01:02.9> a</01:03.0>
<01:03.0> quel</01:03.1>
<01:03.2> âge?</01:03.3>
<01:03.9> Il</01:04.0>
<01:04.1> a,</01:04.3>
<01:04.6> donc</01:04.7>
<01:04.8> j'ai</01:04.9>
<01:05.0> 26</01:05.2>
<01:05.4> ans,</01:05.6>
<01:05.8> il</01:05.8>
<01:05.9> va</01:06.0>
<01:06.0> faire</01:06.3>
<01:06.5> 28.</01:07.1>
<01:07.9> D'accord.</01:08.3>
<01:08.7> Et</01:08.8>
<01:09.1> il</01:09.2>
<01:09.3> enseigne</01:09.6>
<01:09.6> dans</01:09.7>
<01:09.8> un</01:09.8>
<01:09.9> collège?</01:10.5>
<01:10.6> Dans</01:10.7>
<01:10.7> un</01:10.7>
<01:10.8> lycée</01:10.9>
<01:11.0> privé</01:11.2>
<01:11.3> en</01:11.3>
<01:11.3> fait.</01:11.5>
<01:11.5> Dans</01:11.6>
<01:11.6> un</01:11.6>
<01:11.7> lycée</01:11.8>
<01:11.9> privé.</01:12.6>
<01:13.2> D'accord.</01:13.6>
<01:13.7> Et</01:13.8>
<01:14.2> autrement,</01:14.6>
<01:15.1> vous</01:15.3>
<01:15.3> viviez</01:15.7>
<01:15.8> où</01:15.9>
<01:15.9> en</01:16.0>
<01:16.0> fait</01:16.2>
<01:16.2> à</01:16.3>
<01:16.3> Toulouse?</01:16.8>
<01:17.0> C'était</01:17.2>
<01:17.2> une</01:17.3>
<01:17.3> maison,</01:17.8>
<01:17.9> un</01:18.0>
<01:18.0> appartement?</01:18.6>
<01:20.4> Jusqu'à</01:21.8>
<01:21.8> mes</01:21.9>
<01:21.9> 20</01:22.1>
<01:22.1> ans,</01:22.3>
<01:22.3> je</01:22.4>
<01:22.4> vivais</01:22.7>
<01:23.3> en</01:23.4>
<01:23.5> villa</01:23.7>
<01:24.1> avec</01:24.4>
<01:24.5> ma</01:24.6>
<01:24.7> maman</01:25.0>
<01:25.1> et</01:25.2>
<01:26.0> mon</01:26.1>
<01:26.1> beau-père.</01:26.6>
<01:27.1> Et</01:27.1>
<01:27.2> puis</01:27.3>
<01:27.4> depuis</01:27.7>
<01:29.2> 2-3</01:29.3>
<01:29.5> ans,</01:29.6>
<01:29.6> je</01:29.7>
<01:29.7> suis</01:29.8>
<01:29.8> en</01:29.8>
<01:29.9> appartement.</01:30.7>Tout seul. D'accord. Et la maison, elle était comment? Elle était située où?
